Review,Rating
I said it ’ s a lovely day . Why don't we go for a walk ?,neutral
That's all right . At least I got myself left .,neutral
"Yes , I'm looking for a new winter coat .",neutral
"That's OK . We can go jogging , after we eat !",positive
Yes . It will keep your face from getting dry and make your skin soft .,neutral
Now for the most difficult question . What is the price tag for this lovely vehicle ?,neutral
We close at 10:00 every day . And we open at 9:00 in the morning .,neutral
8825 1127 4235 9869 .,neutral
"Like me ? But you see I am so successful now . And if he is really like me , he will be more successful than me in the future .",positive
"Excuse me , does this bus go to the new bookstore ?",neutral
What size are you looking for ?,neutral
Thank you so much for your assistance !,positive
"Oh , yes . Singing is also a good way of keeping fit , at least mentally .",neutral
No . I don't . I suggest you look in the phone book .,neutral
We got on the wrong bus .,neutral
"250 yuan , please !",neutral
"Yes , but sometimes he is just not reasonable .",neutral
Here's the swimming pool . It's open from 10 a . m . to 11 p . m . There are also massage rooms here .,neutral
Sure . May I see your receipt ?,neutral
"No , I'm stuffed . I'm ready for the check .",neutral
Is a shop there ?,neutral
What is your skin type ?,neutral
"I think I will try some lobster , and give me some green salad together .",neutral
Let me know how it works .,neutral
Two blocks down the street .,neutral
You did ? Wow ! Where did you learn ...,positive
Do you take vitamin pills regularly ?,neutral
"7:30 . By tho way , I would like a table next to the window .",neutral
Exactly . How much do you want for them ?,neutral
"Better visit the supermarket then . We'll need some other things for the party . Get some vanilla ice cream , some butter and some vinegar and twelve bottles of beer .",neutral
Hello ?,neutral
Cash or credit card ?,neutral
I feel so tired .,negative
"Sure , we have both skirts and trousers that would look well with the sweater . Look at this section .",positive
All right . That sounds like fun .,positive
"Only one , please .",neutral
"Well , sounds very attractive . I just tried their vanilla milkshake last time , and it was really delicious .",neutral
"Yes . Mike Lee . And put me as close as possible to the stage , please .",neutral
Next left then right ? OK .,neutral
Thank you .,positive
Yeah ?,neutral
Would you like to get in shape together ?,neutral
Me too . What are you doing besides exercising ?,neutral
"Yes , they are . That ’ s very important to us . We like to live in a home with plenty of natural light . Each room has large windows .",neutral
"Sellers aren ’ t really all that objective . They may have gotten used to a leaky faucet , but it is still broken .",neutral
Pardon me . Could you help me ?,neutral
Sure . It's the latest .,neutral
I want to send this letter to the US by airmail .,neutral
"You have to buy a ticket first . You want to go to Shi Da , right ?",neutral
Excuse me . Where are the rice and flour ?,neutral
"Good morning ! Can you help me , please ? I'm looking for some books for my mother .",neutral
"Oh , Would you do me a favor ?",neutral
What ’ s that smell ?,neutral
"Excuse me.Have you got any books on genetic engineering ? I've looked for them everywhere , but I can't find any .",neutral
What will you have ?,neutral
"Well , we have espresso , cappuccino , latte , skinny latte and Americano .",neutral
How does this afternoon at 2:30 sound to you ?,neutral
It's pretty . May I try it on ?,positive
"Ye , of course .",neutral
How long will it take to reach the buffet ?,neutral
It's pretty . Can I try it on ?,positive
"Ok , I will . But let ’ s go to a disco after dinner .",neutral
All right .,neutral
Sorry to hear that . Can we do anything about it ?,neutral
Is it on Xinhua street ?,neutral
"No , hiking boots . Brown ones .",neutral
"I know , dear . I am too . But we've just been too busy to look for a house .",neutral
"We also check your spark plugs , fuel filter , and other oil levels such as hydraulic fluid . We also check the clutch and brakes to determine when you will need new ones .",neutral
It's still too dark . Any brighter colours ?,neutral
"Hello , sir . Is there anything I can help you find ?",neutral
I've already started .,neutral
I hope so .,neutral
"Yeah , that's true . OK , besides cats , dogs , and fish , what are some other pets people keep ?",neutral
"Cabbage ? Is that what they teach at school now ? OK , honey , it's spinage .",neutral
"No . you can cut quite a bit off , I like it to be very short all over . You see what I mean .",neutral
"Yes , much better . Watch where you lift your foot off the pedal . What was that ?",neutral
I'm planning on going to the market soon .,neutral
Here are all the wallets with various designs . How about this one ? It is quite fashionable .,neutral
We guarantee the quality of the product for 12 months . We also provide a worldwide warranty .,neutral
May I help you ?,neutral
I was hoping that the apartment on Main Street was still available .,neutral
What colours do you have in foundation ?,neutral
"Oh , I don ’ t know ... it ’ s hard to find the right nanny . You have to consider her previous work experience , the responsibilities you give her , and how she interacts with the kids . I would love to have someone to help me out , though .",neutral
Pardon ?,positive
"Yeah , but personally I hate bargaining . If I bargain , I might come to a lower price . But I will never know the true price of what I am buying , and I'll always have the feeling that I am over charged at those places .",neutral
Okay . Follow me please .,neutral
That is just an excuse . You can always find some time to exercise .,neutral
"This apartment is nice , but I'd like to find a cheaper one .",positive
"Oh , you want a convertible sofa . This way , please . Over there is the one you want .",neutral
Yes . How much do you charge for it ?,neutral
Thank you very much . See you then .,positive
A flea market is an outdoor place where people sell all kinds of used stuff .,neutral
What is that ?,neutral
"Good evening , ma'am . Table for one ?",neutral
"Basically , there are 7 types of games",neutral
"Yes , I do it quite often .",neutral
"Yes , I'd like a glass of iced tea .",neutral
Yes and maybe a jacket in case it gets cool .,neutral
What's the hardware ?,neutral
She's eighty-seven .,neutral
"Well , I can say that the new models will be here in August . If you order one now , we will have it for you in August .",neutral
"Here you go , honey , fried eggs .",neutral
May I turn on the TV then ?,neutral
Sorry . The road is too crowded .,negative
"I'm sorry , but I don't think so .",neutral
"Sorry , mum . I won't do it again .",negative
"Correct ! Another contrast is the rules for the general and the king . It seems the general or marshal in xiangqi is much too incompetent . They are required to stay in the palace , waiting to be checked and fleeing for life under the cover of the guards . Look at the king in chess , he is much more capable .",neutral
"No , I'm afraid we'll have to cancel the order . I'm not sure whether it agrees with me .",negative
"Sir , leave the house if the fire draws any closer to your house . Our men will be over in 5 minutes .",neutral
It ’ s still too much . Can ’ t you make it any cheaper than that ?,neutral
"All right , sir . I'll have someone to take you there . By the way , is he insured ?",neutral
"Haha , I could never do that . I ’ d be a zombie if I didn ’ t have my morning coffee fix . Let ’ s get down to business then .",positive
"Let's see . If we have it , it should be over there under M . ( He looks through the Cds . ) Hmm , it looks like we've sold out of that one , but we should be getting some more copies in soon . If you want , we can order it for you .",neutral
Very good . We'll meet at 6 . Do you need directions ?,positive
No . That's not enough . I've got some cereal .,neutral
I know . I miss him terribly .,neutral
Yes . The gas station is on the left . And you can't miss it .,neutral
"Well , you don't have to be mean . How do I do it ?",neutral
I told you we should have stayed in town today.The weather report said 100 percent chance of snow.Why did you want to come up here ?,neutral
How do I know if it's ripe ?,neutral
"It usually gets here at noon on Tuesday , which is tomorrow .",neutral
"Yes , I would love to see the apartment .",neutral
Wait a minute ! My uncle lives in Beijing and he lives very close to the theatre . I'll telephone him and ask him to go there to inquire about it . You'd better have breakfast now and I'll meet you later .,neutral
"Okay , but you are going to be my masterpiece !",positive
It's up to you .,neutral
My mum and my sister do the housework and cooking but I clean my room .,neutral
"I appreciate your help , but I think I'll look around a bit .",neutral
"Oh , that's too bad .",neutral
Yes . Natural pearls or cultured pearls ? We have both kinds .,neutral
So what should I do now ?,neutral
I have a question .,neutral
Good morning . Venus Real Estate Agency .,neutral
My mother always did it .,neutral
"They are short , I guess . About the same height as those short flowers over there .",neutral
Here's a twenty . Could you give me some more napkins ?,neutral
"hey , what if the three of us go to the beach together ? Besides , you and Bob haven't seen each other for a while . I don't want my best friend and my boyfriend to be complete strangers .",neutral
"By the way , how long does it take ?",neutral
Is there anything I can do for you ?,neutral
"Oh , how nice ! There are bright rooms and the house is very quiet .",positive
And then ?,neutral
"No , sorry . I don't know .",neutral
241 Main street .,neutral
"Well , each room is 40 dollars a week .",neutral
"He's with someone right now , would you hold ?",neutral
"Mmmm ... , it's hard to say . I like golf a lot-but I guess like skating better .",neutral
I see . Thanks a lot .,positive
Passed .,neutral
What about cheese cake or apple pie ?,neutral
Thank you . I try to keep in shape .,positive
Hang out the clothes .,neutral
"No , thanks .",positive
That's ok . Here is the address .,neutral
"Yeah , I'm gonna go to the bank and change it for bills , but first I have to separate them into little piles .",neutral
All right . What is your type of skin ?,neutral
"No , all the leases are for one year . We don't have month-to-month leases .",neutral
"Three seats , please .",neutral
And then you just pour the batter into the waffle iron ...,neutral
Perfect ! I'll take it !,positive
Smoking is harmful for your health .,neutral
"As soon as possible , because I've got an important meeting to attend .",neutral
Here's a form to get you started .,neutral
What did you buy at the market ?,neutral
That's all right .,positive
Here it is .,neutral
"Hmm , they're not too bad .",neutral
"Hello , this is Sheila from Huawei Corp . Is that Li Lei ?",neutral
Not much . She is very tall and slim .,positive
I see . Is there a bus I can take ?,neutral
"No , mom . I haven't seen it .",neutral
"Thank you , Rick ! As you can see , ladies and gentleman , we are here in beautiful Pebble Beach where the top golfers in the world are trying to win the grand prize of one million dollars !",positive
No you don't ! I should treat my new brother-in-law !,neutral
"Well , actually I prefer something a bit bigger if that's possible .",neutral
"No , you aren't . Just go ahead , please .",neutral
"Yes , I always have coffee in the morning .",neutral
I wonder which looks more lustrous .,neutral
I saw that your Corollas are on sale .,neutral
"Thank you , Henry . I'll get a number 13 .",positive
Yes ?,neutral
Aren't you happy now ? I hadn't seen the piano when I was a child .,neutral
"It ’ s all right , though . Just get off at the next stop and catch the 79A .",neutral
"You bet , as long as I can collect enough money .",neutral
Maybe I should try to lose weight .,neutral
I'm sorry I've already gone through my paycheck for the week .,negative
"that's cool . I can use the computer and the internet pretty well , but I'm a little bit slow in the latest trends of digital products .",positive
"Oh , honey , I'm so sorry , we don't have enough space for you to have your own room .",neutral
And would you like to order now ?,neutral
"Well , how long will it take if I send it by surface mail ?",neutral
"Yes , maybe . But I feel better since becoming a vegetarian . Maybe you could also have a try .",neutral
His records have been sold out . The new copies will be available next week .,neutral
"it's deep fried vegetables , which is commonly eaten in Japan .",neutral
Can you help me find my books ?,neutral
I'm concerned about your car .,neutral
Is it possible to get a beer ?,neutral
Do you want me to check the tires and the fluids ?,neutral
Is it drip-dry ?,neutral
The fried shrimp is crunchy ! But my mom will never cook shrimp this way . She always says that fried food is not healthy .,neutral
May I ask what time he will come back ?,neutral
I ’ m in the middle of something right now . I ’ ll be there in a second .,neutral
"Oh , I see , that's the size of 12 x 18cm . How many prints do you want to have ?",neutral
Hello . Dr . Brown ’ s Dental Office . How can I help you ?,neutral
It's a fruit a little smaller than a grapefruit . It has a big seed in it .,neutral
Give me a dozen lemons .,neutral
"No , they won't . They are shrink proof .",neutral
I also have a suit to be dry-cleaned . Can I fetch it the day after tomorrow ? It's urgent .,neutral
"Oh yeah ? Tell me then , smarty pants , how will you go about setting up your garden ?",neutral
"What a pity that the traditional teahouses , as depicted by Lao She , keep fading away so quickly in this metropolis . It is not easy to find an old-fashioned teahouse that suits the ordinary people's spending power either . Teahouses of today all feature a cozy , comfortable environment , and high-quality services , but can easily cost you a good deal — just like a coffee bar .",neutral
I don't need it to play the guitar .,neutral
Exercised over and over . Exercise is a key .,neutral
"That's the beauty of it , and the danger .",positive
"Hello , Steven . Annie said that you and Julia have had a quarrel , haven ’ t you ?",neutral
"I'd like to send this parcel to Spain , please .",neutral
We also have it in grey .,neutral
Wait a minute . I didn't catch you there . Could you repeat that ?,neutral
He really misses his friends from our old neighborhood .,neutral
Thanks for noticing .,positive
We have several hundred in stock .,neutral
"Soup does the body good , sweetie . It's what you need when you're under the weather .",neutral
It ’ s absolutely incredible . I ’ ll take it .,positive
"You can get a daily pass that will allow you to travel unlimited for the whole day for about 6 dollars . Otherwise , you can pay by trip , which is about 50 cents to 2 dollars each trip , depending on how far you go .",neutral
"Uh ... yeah , right ...",neutral
All right . Chinese embroidery is one traditional art with elaborate design and high quality .,positive
"No , east is the other direction . To get to the Bakery , you need to turn around and go three blocks to Broadway . When you get to the intersection of Broadway and Elm , you hang a left . Go straight down that street for half a block and then you'll see the building on your left .",neutral
"I have the sauce , but remind me to get some ketchup at the shop .",neutral
"Oh , I thought you said Laura . Sorry about that . This is the right number , but Heather's not here right now .",neutral
Are you ready to order ?,neutral
I don't think dieting is good for you . It's much better to eat a balanced diet and to never get overweight to begin with !,neutral
This one sells for $ 39.99 .,neutral
What time is it now ?,neutral
"Oh , wow , that's cool . Um , why do people keep pets ?",positive
I want to buy one to match my shirt.Can you give me some advice ?,neutral
"Sure , but I don't drink much . So I don't know what to order .",neutral
Let me take a look . You know why ? It's clogged with hair . No wonder water won't go down .,neutral
Bill Smith .,neutral
"But it doesn't have a turntable . I have a fair number of vinyl records , so I need something to play them on .",neutral
I just insert my debit card into the machine .,neutral
"Ah , that's the biggest fun of all . You see , even though you're not a good singer , people will listen to you .",neutral
Do you know any places ?,neutral
"No , from New Zealand , sir . I visited New Zealand and saw lots of overseas people there .",neutral
"No , honey , the balcony is full of boxes and things . I'm sorry .",negative
"Why don't you take it for a test drive , and think it over .",neutral
"Yeah , I crave my own space . I just get so tiredhaving people around me all the time . We all need our private space . But I also think interpersonal skills very important . Living in a dorm means you have to learn to be considerate of others , otherwise nobody is going to have a good time .",neutral
Please take a seat . Do you need a shampoo ?,neutral
"13924774026 . All right . Thanks for calling . Oh , hang on , someone's at the door that may be him , please hold on .",positive
Don't get all worked up over him . He's probably harmless .,neutral
Do you like the room ?,neutral
This is so awkward ... what ones do I pick ? What size is she ?,neutral
US $ 138 .,neutral
Potato chips and French dressing .,neutral
"Maybe they know they shouldn ’ t run a red light , but when they are driving they don ’ t pay enough attention to traffic lights .",neutral
What color do you want ?,neutral
Hey ! What's that smell ? Are you burning the toast ?,positive
Sure . What's up ?,neutral
My daughter . She is missing . I don ’ t know where she is .,neutral
"Well , I may have accidentally insinuated that she is getting chubbier .",neutral
I ... I failed to pass the examination . How I wish I had studied hard .,negative
Can you tell me where the pots and pans are ?,neutral
You really should go to Rachel's pet store .,neutral
"So , is there anything wrong with my strokes ?",neutral
It's raining heavily .,neutral
Just do like this.Very simple .,neutral
"So , how often do you work out ?",neutral
Excuse me .,neutral
Mostly just to browse the Internet and send emails to friends .,neutral
Thanks .,positive
"Will you give me a hand , sir ?",neutral
Here's fifteen Yuan .,neutral
"With pleasure , chap . But before I start , I need to know what you want a bike for ?",positive
About how much were you planning to spend ?,neutral
I've been making these designs for over ten years . You can have a bracelet for ten dollars .,neutral
Let me run and check .,neutral
How are you going to find an apartment ?,neutral
The tip is rather narrow .,neutral
Yes ! It ’ s very fine meat ! Made it myself ...,positive
But there are only two more days until the bidding closes !,negative
I wonder if you could have ensured here .,neutral
01088256798,neutral
"Of course ! Everything at Helen ’ s is overpriced , and they sell things that you can find at almost every other clothing store ! Why didn ’ t you shop around ?",positive
"First you take some eggs and crack them in a bowl , and whisk them up , quite , so they're quite high and fluffy , and in a hot pan , and you need a pan that's that's kind of small , that the sides go up at an angle . You put some oil and heat it up , so it's quite hot , and then you take your whipped up eggs , or whisked up eggs , and pour them into the pan , and as it's cooking , if you take a spatula , and push the bottom layer of the egg , to the side , to the sides , and then to the middle , so the uncooked egg gets to the bottom of the pan .",neutral
"Okay , let's go !",positive
Be careful . The floor is wet .,neutral
"Oh , right . What time is it there ?",neutral
"Because I ’ m not in the mood , that ’ s why .",neutral
"Hi , I would like to send this package to China , and these postcards as well .",neutral
"You guessed right . Besides , the color violet is a little girly for me ...",neutral
Do you have to pay utilities on top of your monthly rent ?,neutral
Do you take in students ? I've been told you might have a vacant room .,neutral
Be my guest .,neutral
What kind of style do you want ?,neutral
"But you'll promise not to be late for dinner tonight , won't you ?",neutral
"It's on the west street , near Royal Hotel .",neutral
( They get everything ready ) Here is a free table . Let's sit down . Help yourself to some fish please . Isn't it delicious and appetizing ?,neutral
"Yes , but that'll probably take about half an hour . You should just take a cab .",neutral
"Yes , sometimes the music there is so beautiful . It is very romantic . I can stay there for hours .",neutral
Do you have a bed ?,neutral
"No way , Kate . I mean it's just not my fault .",negative
"Hey , Jim . Wake up !",neutral
Of course . It's on Memorial Avenue .,neutral
Sure . What is it ?,neutral
"We put $ 500 into the savings account , and $ 750 into our stock account .",neutral
"Take some thick clothes with you . It is rather cold there at night . If you wear the T-shirt you're wearing now , you will become a ' popsicle ' .",neutral
But it ’ s very convenient for you to walk to work .,neutral
"You're going to have coffee , aren't you ?",neutral
"Yes , we charge 50 cents for water .",neutral
"Mom , give me a glass of orange juice .",neutral
I ’ m not sure . Perhaps you could do the shopping .,neutral
No . Only a few pounds . But my passport was in the bag . That ’ what I ’ m really worry about .,negative
Dad and Mom ?,neutral
"OK , here is your change .",neutral
Do you have anything else I can have instead ?,neutral
I am afraid not . Are there any vacant tables ?,neutral
"I'll have the lamb chops , well-done , please .",neutral
Here we are . I hope you will like it .,neutral
"Are there any special features that you would like to have , such as , a dishwasher , a balcony , a swimming pool , central air conditionining , etc . ?",neutral
I'm sorry ; he's out at the moment .,negative
How far is it ?,neutral
I used to buy lunch every day from the International food stall at school . Every day was an adventure !,positive
How about oil or spray ?,neutral
Hello .,neutral
Yes .,neutral
"I will blow my nose sometime for you , and you'll see .",neutral
"Dad , I'd like to take a picture with the status .",neutral
I understand .,neutral
OK . How does seven o'clock this evening sound ?,neutral
Wow . That's really good . And you think this is really a good system for a graduate student ?,neutral
"I usually come with a group of friends . We dance a little , have a few drinks , and just have a good time .",positive
"Oh , I know Tangyuan . It ’ s a sweet snack , good for dessert .",positive
OK . How much should I pay ?,neutral
I'll be right back .,neutral
I think Yoga might be suitable for me .,neutral
Perfect . I also wanted to know if there is any call forwarding service ? I am usually out of town and would like my calls to be forwarded to a local number .,positive
"Just a second ... Sorry , the line is engaged .",neutral
Is there a sofa in the living room ?,neutral
"That is no problem at all . Isabel ’ s is having a clearance sale , and today is the last day . You don't want to miss such a good chance , do you ?",neutral
Let's eat out .,neutral
I really don't know what to buy .,neutral
Where did you go to find yours ?,neutral
"I think I'll have a glass of wine . Let's see ... they have red wine , white wine and port . They even have sangria ! It's the happy hour special .",positive
"Mm , I don ’ t really like duck to be honest with you . I fancy something light .",neutral
"Mr . Zhang , are you still there ?",neutral
"Yes , I can also learn about the traffic condition through it .",neutral
Yes . So am I . But what will he do after graduation ? He really needs to go to college .,neutral
Here they are .,neutral
"No , thanks . I'll call back later .",positive
"Cool ! Also amongst the winners is Petra , in Jordan , Mach Pitch in Peru and the pyramid in Chichenitza in Mexico .",positive
That is exactly what I needed ! What else do you have ?,positive
"I can ’ t see anything out of the side mirror on your side of the car . Could you move it forward a bit , please ?",neutral
And it gives you money ?,neutral
"Oh , Johnny , that stuff was dollar store junk . No , I want to thank you for keeping Grandma busy .",positive
It's all in the bag .,neutral
They're in Aisle Two .,neutral
stirred will be fine .,neutral
Can you show me how to make an overseas call ?,neutral
Red restaurant . Do you want to make a reservation ?,neutral
I'll do with the cake .,neutral
Now with video rentals it's all a personal matter .,neutral
"I am sorry , I didn ’ t catch what you said . Could you repeat it please ?",neutral
I want it registered . How much is it then ?,neutral
Thank you for your help .,positive
Sure . How about this one ?,neutral
"Sure , wait a moment .",neutral
I don ’ t understand . Maybe they feel they are okay and driving fast seems very cool .,neutral
"Wow . this is nice . I'll take this one . I guess if she doesn't like it she can return it , right ?",positive
They fit me very well . I like them .,positive
"Go straight then turn right , and you will see a big bus station there .",neutral
I ’ m on it !,positive
I need to buy some new clothes for the summer too . Perhaps we can go together one day .,neutral
I just happen to have a question for you guys . Why do the Chinese cook the vegetables ? You see what I mean is that most vitamin are destroyed when heated .,neutral
"Right ? OK , got it .",neutral
Do you like it ?,neutral
What a cool see-through blue ! How do you wear this thing ?,positive
Yes . First I'll have tomato juice .,neutral
Is that the university next to the Teachers ' College ?,neutral
What's the price difference ?,neutral
"And then , ricocheted off her fish bowl . Mrs . Fitzgerald at the last minute dived and saved her fish .",neutral
"You see , there is a run at the neck .",neutral
You can transfer Fuchengmen .,neutral
When can I move into my new house ?,neutral
"Wait a moment , please .",neutral
"I'm sorry , sir , but I'll have to give you a ticket .",negative
"Excuse me , ma'am ?",neutral
I wonder if it keeps good time .,neutral
We will deliver your mattress tomorrow at 12 o'clock .,neutral
"Yes , please . That would be a great help . Are you sure you don ’ t mind ?",neutral
"No , thanks . I'm just looking .",neutral
"Hey , look , there is a circus show over there .",neutral
"Sorry to bother you , but do you have change for a one ?",neutral
You can try it on in the fitting room over there .,neutral
"Well , the newspaper is over there . Look in the want ads , but I don ’ t know what you ’ re going to find without a college degree .",neutral
"Why don't you sit down and relax , darling ?",neutral
"No , right here in the parking lot . It was parked right here in your space . The left rearview mirror was smashed .",neutral
I'd like to have this shirt washed and ironed .,neutral
"Yes , you con order some typical Chinese dishes . For example , Roast Beijing Duck .",neutral
"Well , I used to be size fourteen , but I've put on a bit of weight recently , so may be sixteen .",neutral
The furniture is built extremely well .,neutral
"No problem . I need some markers , some color pencils , a pair of scissors , some highlighter , rulers ..",neutral
Take much and you can have them six yuan per kilo .,neutral
My pleasure .,positive
Are you looking for a casual jacket or something formal ?,neutral
"Thank you , but I'd prefer to buy a China-made set .",neutral
OK ! Here you go .,neutral
"My name is Luo Gang , and the phone number is 513-3284 .",neutral
How much is it all together ?,neutral
Is there anything I can do for you ?,neutral
What is this made of ?,neutral
"Umm , let me think for a moment . We can meet her together after I finish cooking .",neutral
You're going to mop the floor until you can see your face in it !,negative
"I don ’ t care ! You are grounded for life , mister !",neutral
"Welcome to Flower Power , sir . What can I get for you ?",neutral
Just a few shirts .,neutral
"Sure , for how many ?",neutral
About 10 days . You can send it express mail if you need it faster . It will only take three or four days .,neutral
Wow ! You really went all out ! Did you make any coffee ?,positive
"No , it won't .",neutral
"Oh , it costs too much . It's more expensive than the public school .",positive
Great idea . There is a travel agency nearby who would love to be our sponsor . It's a perfect chance for them to promote ethnic tourism .,positive
Can we solve this later ? I am calling the insurance company .,neutral
"Excuse me , how long does it take to get there ?",neutral
"May be we could get some new furniture , better stuff .",neutral
And about time too .,neutral
"Yes , I see . We will cancel your order .",neutral
"I have never seen those before , but since you're so excited it should be good .",neutral
"No , you don't have to . Here comes the train . Be careful ! Subway doors open and close automatically .",neutral
Wait ! Congratulations ! You are the lucky customer of our anniversary celebration .,positive
"All right . Just wait a minute , OK ?",neutral
Can you sew on these buttons ?,neutral
I ’ m afraid I ’ m not interested in fashion .,neutral
"Of course . We ’ Ve got this style here that is very popular . Because it ’ s an open-toe shoe , you can wear it any time of the year . They look great on everyone .",neutral
"Yes , I packed my books in it . Thank you .",positive
You don't have to worry about it . We have a one year warranty .,neutral
"Well , depends . You see , there are eight famous Chinese food cuisines , for instance , sichuan cuisine and HUNAN cuisine .",neutral
"Yes , I like it , because it's convenient .",neutral
Okay . I'll see you then .,positive
It ’ s certainly a pretty dress . I can ring you up at the register over here .,neutral
What would you like to drink ?,neutral
"Sure . If we can get an appointment with someone to do the floors , we should probably be able to have the furniture in here after a week or so . I can get all the carpet out this weekend .",positive
Thank you .,positive
"Mom , I'm ready for school .",neutral
"Before he made the top three , I was so nervous . I just fear that he might be knocked out .",neutral
Maybe I have an idea how it happened .,neutral
"What ’ s the number you are calling , please ?",neutral
"I did , Mom .",neutral
It might be too hot for me .,neutral
Will you make some recommendation ?,neutral
"Oh , four or five . How much is the rent for this apartment ?",neutral
"Right , ah . It is so close to our home . How come we've never thought of that ?",neutral
Yes . I'll be back at the same time as usual .,neutral
Playing tennis twice a week will be a good start . Count me in .,positive
Which bus should I take then ?,neutral
Do you use an anti-virus program to protect your computer ?,neutral
"I am sorry , sir . We are booked until 9:10 .",negative
"How sweet ... if you make me some more toast , I'll let you use my new retro toaster ...",neutral
"Very well . Let's see , according to his vaccination record , Ricky has received his Polio , Tetanus and Hepatitis B shots . He is 14 months old , so he is due for Hepatitis A , Chickenpox and Measles shots .",neutral
"Yes , I have many things to buy . I would like to choose the cleaning milk first .",neutral
"Good question . Yes , he has a moustache , but no beard .",neutral
